ID_RRES_v5,Module
FGRAMPH1_01T02159,F01
FGRAMPH1_01T02161,F05
FGRAMPH1_01T02163,F02
FGRAMPH1_01T02165,F02
FGRAMPH1_01T02171,F02
FGRAMPH1_01T02169,F02
FGRAMPH1_01T02173,F03
FGRAMPH1_01T02175,F01
FGRAMPH1_01T02177,F01
FGRAMPH1_01T02179,F02
FGRAMPH1_01T02181,F05
FGRAMPH1_01T02183,F05
FGRAMPH1_01T02185,F06
FGRAMPH1_01T02187,F11
FGRAMPH1_01T02189,F02
FGRAMPH1_01T02191,F03
FGRAMPH1_01T02193,F06
FGRAMPH1_01T02195,F08
FGRAMPH1_01T02199,F03
FGRAMPH1_01T02201,F03
FGRAMPH1_01T02203,F02
FGRAMPH1_01T02205,F01
FGRAMPH1_01T02207,F02
FGRAMPH1_01T02213,F08
FGRAMPH1_01T02215,F01
FGRAMPH1_01T02219,F03
FGRAMPH1_01T02221,F01
FGRAMPH1_01T02223,F02
FGRAMPH1_01T02231,F03
FGRAMPH1_01T02233,F01
FGRAMPH1_01T02237,F11
FGRAMPH1_01T02241,F01
FGRAMPH1_01T02247,F14
FGRAMPH1_01T02249,F02
FGRAMPH1_01T02253,F06
FGRAMPH1_01T02251,F07
FGRAMPH1_01T02255,F04
FGRAMPH1_01T02257,F02
FGRAMPH1_01T02259,F01
FGRAMPH1_01T02261,F07
FGRAMPH1_01T02263,F02
FGRAMPH1_01T02265,F05
FGRAMPH1_01T02267,F01
